FG_Id,FG_SKU,FG_Type,CompanyId,CompanyName,RM_Id,RM_SKU,RM_Type,SupplierId,SupplierName,RM_Code,RM_hash,RM_ingredient
1,FG-iherb-10421,finished-good,28,NOW Foods,506,RM-C28-glycerin-85e43afb,raw-material,18,Ingredion,RM-C28,85e43afb,glycerin
1,FG-iherb-10421,finished-good,28,NOW Foods,509,RM-C28-safflower-oil-a84bc3ce,raw-material,1,ADM,RM-C28,a84bc3ce,safflower oil
1,FG-iherb-10421,finished-good,28,NOW Foods,509,RM-C28-safflower-oil-a84bc3ce,raw-material,10,Cargill,RM-C28,a84bc3ce,safflower oil
1,FG-iherb-10421,finished-good,28,NOW Foods,511,RM-C28-softgel-capsule-bovine-gelatin-5a1a1582,raw-material,9,Capsuline,RM-C28,5a1a1582,softgel capsule bovine gelatin
1,FG-iherb-10421,finished-good,28,NOW Foods,511,RM-C28-softgel-capsule-bovine-gelatin-5a1a1582,raw-material,13,Darling Ingredients / Rousselot,RM-C28,5a1a1582,softgel capsule bovine gelatin
1,FG-iherb-10421,finished-good,28,NOW Foods,512,RM-C28-vitamin-d3-cholecalciferol-8956b79c,raw-material,27,Prinova USA,RM-C28,8956b79c,vitamin d3 cholecalciferol
1,FG-iherb-10421,finished-good,28,NOW Foods,512,RM-C28-vitamin-d3-cholecalciferol-8956b79c,raw-material,28,PureBulk,RM-C28,8956b79c,vitamin d3 cholecalciferol
2,FG-iherb-116514,finished-good,6,Animal,208,RM-C6-acesulfame-potassium-72a88908,raw-material,10,Cargill,RM-C6,72a88908,acesulfame potassium
2,FG-iherb-116514,finished-good,6,Animal,208,RM-C6-acesulfame-potassium-72a88908,raw-material,27,Prinova USA,RM-C6,72a88908,acesulfame potassium
2,FG-iherb-116514,finished-good,6,Animal,209,RM-C6-artificial-flavor-abc70ce1,raw-material,15,Gold Coast Ingredients,RM-C6,abc70ce1,artificial flavor
2,FG-iherb-116514,finished-good,6,Animal,210,RM-C6-carrageenan-5724a865,raw-material,18,Ingredion,RM-C6,5724a865,carrageenan
2,FG-iherb-116514,finished-good,6,Animal,211,RM-C6-cellulose-gum-fbd9bf21,raw-material,18,Ingredion,RM-C6,fbd9bf21,cellulose gum
2,FG-iherb-116514,finished-good,6,Animal,212,RM-C6-cocoa-processed-with-alkali-4270adbb,raw-material,18,Ingredion,RM-C6,4270adbb,cocoa processed with alkali
2,FG-iherb-116514,finished-good,6,Animal,213,RM-C6-natural-flavor-89d4e0c4,raw-material,15,Gold Coast Ingredients,RM-C6,89d4e0c4,natural flavor
2,FG-iherb-116514,finished-good,6,Animal,214,RM-C6-sodium-chloride-baddece9,raw-material,19,Jost Chemical,RM-C6,baddece9,sodium chloride
2,FG-iherb-116514,finished-good,6,Animal,214,RM-C6-sodium-chloride-baddece9,raw-material,28,PureBulk,RM-C6,baddece9,sodium chloride
2,FG-iherb-116514,finished-good,6,Animal,215,RM-C6-soy-lecithin-5de90202,raw-material,1,ADM,RM-C6,5de90202,soy lecithin
2,FG-iherb-116514,finished-good,6,Animal,215,RM-C6-soy-lecithin-5de90202,raw-material,10,Cargill,RM-C6,5de90202,soy lecithin
2,FG-iherb-116514,finished-good,6,Animal,216,RM-C6-sucralose-792c37c8,raw-material,27,Prinova USA,RM-C6,792c37c8,sucralose
2,FG-iherb-116514,finished-good,6,Animal,216,RM-C6-sucralose-792c37c8,raw-material,38,Univar Solutions,RM-C6,792c37c8,sucralose
2,FG-iherb-116514,finished-good,6,Animal,217,RM-C6-sunflower-lecithin-47e33a0e,raw-material,1,ADM,RM-C6,47e33a0e,sunflower lecithin
2,FG-iherb-116514,finished-good,6,Animal,217,RM-C6-sunflower-lecithin-47e33a0e,raw-material,10,Cargill,RM-C6,47e33a0e,sunflower lecithin
2,FG-iherb-116514,finished-good,6,Animal,218,RM-C6-whey-protein-concentrate-3d85f0ab,raw-material,3,Actus Nutrition,RM-C6,3d85f0ab,whey protein concentrate
2,FG-iherb-116514,finished-good,6,Animal,218,RM-C6-whey-protein-concentrate-3d85f0ab,raw-material,27,Prinova USA,RM-C6,3d85f0ab,whey protein concentrate
2,FG-iherb-116514,finished-good,6,Animal,219,RM-C6-whey-protein-isolate-0a63f8af,raw-material,3,Actus Nutrition,RM-C6,0a63f8af,whey protein isolate
2,FG-iherb-116514,finished-good,6,Animal,219,RM-C6-whey-protein-isolate-0a63f8af,raw-material,27,Prinova USA,RM-C6,0a63f8af,whey protein isolate
2,FG-iherb-116514,finished-good,6,Animal,220,RM-C6-xanthan-gum-ead6309f,raw-material,18,Ingredion,RM-C6,ead6309f,xanthan gum
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,863,RM-C56-beet-extract-e7c171ca,raw-material,4,American Botanicals,RM-C56,e7c171ca,beet extract
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,863,RM-C56-beet-extract-e7c171ca,raw-material,23,Mueggenburg USA,RM-C56,e7c171ca,beet extract
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,864,RM-C56-beta-carotene-30b80b09,raw-material,2,AIDP,RM-C56,30b80b09,beta carotene
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,864,RM-C56-beta-carotene-30b80b09,raw-material,26,Nutri Avenue,RM-C56,30b80b09,beta carotene
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,865,RM-C56-calcium-ascorbate-fca157d3,raw-material,27,Prinova USA,RM-C56,fca157d3,calcium ascorbate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,865,RM-C56-calcium-ascorbate-fca157d3,raw-material,28,PureBulk,RM-C56,fca157d3,calcium ascorbate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,866,RM-C56-calcium-lactate-gluconate-44d08e4d,raw-material,19,Jost Chemical,RM-C56,44d08e4d,calcium lactate gluconate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,866,RM-C56-calcium-lactate-gluconate-44d08e4d,raw-material,27,Prinova USA,RM-C56,44d08e4d,calcium lactate gluconate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,867,RM-C56-citric-acid-d55c874f,raw-material,27,Prinova USA,RM-C56,d55c874f,citric acid
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,867,RM-C56-citric-acid-d55c874f,raw-material,38,Univar Solutions,RM-C56,d55c874f,citric acid
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,869,RM-C56-magnesium-citrate-5cf5996a,raw-material,19,Jost Chemical,RM-C56,5cf5996a,magnesium citrate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,869,RM-C56-magnesium-citrate-5cf5996a,raw-material,28,PureBulk,RM-C56,5cf5996a,magnesium citrate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,871,RM-C56-manganese-citrate-0b990e60,raw-material,19,Jost Chemical,RM-C56,0b990e60,manganese citrate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,871,RM-C56-manganese-citrate-0b990e60,raw-material,27,Prinova USA,RM-C56,0b990e60,manganese citrate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,874,RM-C56-natural-tangerine-flavor-ed4b8232,raw-material,15,Gold Coast Ingredients,RM-C56,ed4b8232,natural tangerine flavor
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,876,RM-C56-other-natural-flavors-565ce93f,raw-material,15,Gold Coast Ingredients,RM-C56,565ce93f,other natural flavors
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,877,RM-C56-potassium-aspartate-e54e5e27,raw-material,19,Jost Chemical,RM-C56,e54e5e27,potassium aspartate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,877,RM-C56-potassium-aspartate-e54e5e27,raw-material,27,Prinova USA,RM-C56,e54e5e27,potassium aspartate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,878,RM-C56-potassium-phosphate-066639d2,raw-material,19,Jost Chemical,RM-C56,066639d2,potassium phosphate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,878,RM-C56-potassium-phosphate-066639d2,raw-material,27,Prinova USA,RM-C56,066639d2,potassium phosphate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,879,RM-C56-rebaudioside-a-a60df8cc,raw-material,10,Cargill,RM-C56,a60df8cc,rebaudioside a
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,879,RM-C56-rebaudioside-a-a60df8cc,raw-material,27,Prinova USA,RM-C56,a60df8cc,rebaudioside a
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,880,RM-C56-salt-sodium-chloride-aa9476b4,raw-material,19,Jost Chemical,RM-C56,aa9476b4,salt sodium chloride
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,880,RM-C56-salt-sodium-chloride-aa9476b4,raw-material,28,PureBulk,RM-C56,aa9476b4,salt sodium chloride
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,881,RM-C56-zinc-citrate-45e7f827,raw-material,19,Jost Chemical,RM-C56,45e7f827,zinc citrate
3,FG-iherb-71022,finished-good,56,Ultima Replenisher,881,RM-C56-zinc-citrate-45e7f827,raw-material,27,Prinova USA,RM-C56,45e7f827,zinc citrate
4,FG-iherb-52816,finished-good,33,New Chapter,580,RM-C33-biotin-dd51a7e1,raw-material,27,Prinova USA,RM-C33,dd51a7e1,biotin
4,FG-iherb-52816,finished-good,33,New Chapter,580,RM-C33-biotin-dd51a7e1,raw-material,28,PureBulk,RM-C33,dd51a7e1,biotin
4,FG-iherb-52816,finished-good,33,New Chapter,582,RM-C33-ferment-media-c911f8c0,raw-material,24,Nutra Blend,RM-C33,c911f8c0,ferment media
4,FG-iherb-52816,finished-good,33,New Chapter,582,RM-C33-ferment-media-c911f8c0,raw-material,27,Prinova USA,RM-C33,c911f8c0,ferment media
4,FG-iherb-52816,finished-good,33,New Chapter,583,RM-C33-folate-b7efc577,raw-material,27,Prinova USA,RM-C33,b7efc577,folate
4,FG-iherb-52816,finished-good,33,New Chapter,583,RM-C33-folate-b7efc577,raw-material,28,PureBulk,RM-C33,b7efc577,folate
4,FG-iherb-52816,finished-good,33,New Chapter,585,RM-C33-niacin-151277db,raw-material,27,Prinova USA,RM-C33,151277db,niacin
4,FG-iherb-52816,finished-good,33,New Chapter,585,RM-C33-niacin-151277db,raw-material,28,PureBulk,RM-C33,151277db,niacin
4,FG-iherb-52816,finished-good,33,New Chapter,586,RM-C33-organic-coating-83434eb0,raw-material,5,Ashland,RM-C33,83434eb0,organic coating
4,FG-iherb-52816,finished-good,33,New Chapter,586,RM-C33-organic-coating-83434eb0,raw-material,11,Colorcon,RM-C33,83434eb0,organic coating
4,FG-iherb-52816,finished-good,33,New Chapter,587,RM-C33-organic-gum-acacia-32c6f17e,raw-material,18,Ingredion,RM-C33,32c6f17e,organic gum acacia
4,FG-iherb-52816,finished-good,33,New Chapter,588,RM-C33-organic-maltodextrin-3279a920,raw-material,18,Ingredion,RM-C33,3279a920,organic maltodextrin
4,FG-iherb-52816,finished-good,33,New Chapter,589,RM-C33-pantothenic-acid-39dfb546,raw-material,27,Prinova USA,RM-C33,39dfb546,pantothenic acid
4,FG-iherb-52816,finished-good,33,New Chapter,589,RM-C33-pantothenic-acid-39dfb546,raw-material,28,PureBulk,RM-C33,39dfb546,pantothenic acid
4,FG-iherb-52816,finished-good,33,New Chapter,590,RM-C33-riboflavin-f24838be,raw-material,27,Prinova USA,RM-C33,f24838be,riboflavin
